hltpath,nfill,nrun,ncms,totdelivered(/nb),totrecorded(/nb)
HLT_PFJet140_v17,23,50,22670,3029.084704235,2939.323008226
HLT_PFJet140_v18,10,26,13311,3010.749570582,2903.487650224
HLT_PFJet140_v19,164,402,198129,44472.492553171,42723.633623087
HLT_PFJet15_v1,1,1,4,0.103482314,0.083993538
HLT_PFJet15_v3,3,3,16,0.272475925,0.103939830
HLT_PFJet200_v17,23,50,22670,13954.315905644,13545.103484696
HLT_PFJet200_v18,10,26,13311,12903.212445351,12443.518500960
HLT_PFJet200_v19,164,402,198129,190589.572232242,183094.648911450
HLT_PFJet25_v1,1,1,4,0.103482314,0.083993538
HLT_PFJet25_v3,3,3,16,0.272475925,0.103939830
HLT_PFJet260_v18,23,50,22670,49407.987554514,47739.061815453
HLT_PFJet260_v19,10,26,13311,29663.952385766,28589.147426452
HLT_PFJet260_v20,164,402,198129,418624.480640930,399321.064671611
HLT_PFJet320_v18,23,50,22670,129861.044490792,125869.390426727
HLT_PFJet320_v19,10,26,13311,118655.809543063,114356.589705810
HLT_PFJet320_v20,164,402,198129,1659881.496522547,1591708.614411997
HLT_PFJet400_v18,23,50,22670,379181.189456630,368003.902877175
HLT_PFJet400_v19,10,26,13311,237311.619086126,228713.179411619
HLT_PFJet400_v20,164,402,198129,3314890.851031368,3181558.680732512
HLT_PFJet40_v19,23,50,22670,24.253149290,23.440428500
HLT_PFJet40_v20,10,26,13311,20.320493995,19.584227720
HLT_PFJet40_v21,164,402,198129,205.833051957,197.593171385
HLT_PFJet450_v19,23,50,22670,715198.894887107,694281.858933713
HLT_PFJet450_v20,10,26,13311,474623.238172253,457426.358823239
HLT_PFJet450_v21,164,402,198129,6624909.560049011,6361258.813373542
HLT_PFJet500_v19,23,50,22670,5449751.450140215,5291407.964652232
HLT_PFJet500_v20,10,26,13311,3796985.905378023,3659410.870585911
HLT_PFJet500_v21,164,402,198129,52965171.486296013,50877060.670347966
HLT_PFJet550_v10,10,26,13311,3796985.905378023,3659410.870585911
HLT_PFJet550_v11,164,402,198129,52965171.486296013,50877060.670347966
HLT_PFJet550_v9,23,50,22670,5449751.450140215,5291407.964652232
HLT_PFJet60_v19,23,50,22670,30.717047591,29.816265532
HLT_PFJet60_v20,10,26,13311,23.880414499,23.015162708
HLT_PFJet60_v21,164,402,198129,782.922181972,752.062293959
HLT_PFJet80_v18,23,50,22670,2003.394416115,1942.212165222
HLT_PFJet80_v19,10,26,13311,223.352112081,215.259462976
HLT_PFJet80_v20,164,402,198129,3115.598322723,2992.768274726
